pokemon,score,type_1,type_2,attack,defense,stamina,stat_product,level,fast_move,charged_move_1,charged_move_2,damage_cm_1,energy_cm_1,dpe_cm_1,damage_cm_2,energy_cm_2,dpe_cm_2,damage_fm,turns_fm,energy_fm,cd_fm,dpt_fm,ept_fm,bulk,is_dual_type
Umbreon,89.5,dark,none,90.6,172.3,157,2451187,26.0,Snarl,Foul Play,Last Resort,70,-45,1.56,90,-55,1.64,5,2,13,1.5,1.67,4.33,27051.100000000002,False
Registeel,89.3,steel,none,95.7,190.1,128,2328123,22.5,Lock On,Flash Cannon,Focus Blast,110,-70,1.57,140,-75,1.87,1,0,5,0.5,1.0,5.0,24332.8,False
Abomasnow (Shadow),89.2,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,60,-35,1.71,90,-55,1.64,5,1,8,1.0,2.5,4.0,15707.400000000001,True
Medicham,89.0,fighting,psychic,107.5,132.0,134,1900834,40.0,Counter,Ice Punch,Psychic,55,-40,1.38,90,-55,1.64,8,1,7,1.0,4.0,3.5,17688.0,True
Castform (Rainy),88.9,water,none,114.2,118.9,144,1955147,39.5,Water Gun,Weather Ball (Water),Thunder,60,-35,1.71,100,-60,1.67,3,0,3,0.5,3.0,3.0,17121.600000000002,False
Meganium,88.8,grass,none,112.1,135.2,131,1985352,23.0,Vine Whip,Frenzy Plant,Earthquake,100,-45,2.22,120,-65,1.85,5,1,8,1.0,2.5,4.0,17711.199999999997,False
Chesnaught,88.7,grass,fighting,118.9,124.7,125,1853637,18.5,Vine Whip,Superpower,Energy Ball,85,-40,2.13,90,-55,1.64,5,1,8,1.0,2.5,4.0,15587.5,True
Regirock,88.7,rock,none,105.4,180.2,112,2127885,18.0,Lock On,Stone Edge,Focus Blast,100,-55,1.82,140,-75,1.87,1,0,5,0.5,1.0,5.0,20182.399999999998,False
Skarmory,88.7,steel,flying,106.9,163.1,120,2092515,27.0,Air Slash,Brave Bird,Sky Attack,130,-55,2.36,75,-45,1.67,9,2,9,1.5,3.0,3.0,19572.0,True
Vigoroth,88.5,normal,none,115.9,113.1,144,1888091,28.0,Counter,Body Slam,Bulldoze,60,-35,1.71,80,-60,1.33,8,1,7,1.0,4.0,3.5,16286.4,False
Bastiodon,88.4,rock,steel,85.2,234.5,132,2638165,38.5,Smack Down,Stone Edge,Flamethrower,100,-55,1.82,90,-55,1.64,12,2,8,1.5,4.0,2.67,30954.0,True
Mandibuzz,88.4,dark,flying,92.8,148.5,174,2399472,26.5,Snarl,Foul Play,Aerial Ace,70,-45,1.56,55,-45,1.22,5,2,13,1.5,1.67,4.33,25839.0,True
Machamp,88.3,fighting,none,136.0,95.8,125,1628538,18.0,Counter,Cross Chop,Rock Slide,50,-35,1.43,75,-45,1.67,8,1,7,1.0,4.0,3.5,11975.0,False
Tropius,88.3,grass,flying,102.2,125.9,169,2173466,29.0,Air Slash,Leaf Blade,Aerial Ace,70,-35,2.0,55,-45,1.22,9,2,9,1.5,3.0,3.0,21277.100000000002,True
Abomasnow,88.2,grass,ice,118.5,111.4,141,1861173,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,60,-35,1.71,90,-55,1.64,5,1,8,1.0,2.5,4.0,15707.400000000001,True
Primeape,88.2,fighting,none,141.8,97.1,115,1584241,23.5,Counter,Night Slash,Close Combat,50,-35,1.43,100,-45,2.22,8,1,7,1.0,4.0,3.5,11166.5,False
Venusaur,88.1,grass,poison,123.4,122.8,119,1802730,20.5,Vine Whip,Frenzy Plant,Sludge Bomb,100,-45,2.22,80,-50,1.6,5,1,8,1.0,2.5,4.0,14613.199999999999,True
Whiscash,88.1,water,ground,108.3,107.6,175,2038887,27.0,Mud Shot,Mud Bomb,Blizzard,55,-40,1.38,140,-75,1.87,3,1,9,1.0,1.5,4.5,18830.0,True
Sableye,87.8,dark,ghost,123.3,119.3,120,1765496,40.0,Shadow Claw,Foul Play,Return,70,-45,1.56,130,-70,1.86,6,1,8,1.0,3.0,4.0,14316.0,True
Galvantula,87.3,bug,electric,138.3,94.8,122,1599873,25.0,Volt Switch,Discharge,Lunge,65,-45,1.44,60,-45,1.33,12,3,16,2.0,3.0,4.0,11565.6,True
Diggersby,87.2,normal,ground,98.8,133.6,168,2216614,40.0,Mud Shot,Earthquake,Fire Punch,120,-65,1.85,55,-40,1.38,3,1,9,1.0,1.5,4.5,22444.8,True
Ninetales (Alolan),87.1,ice,fairy,115.9,134.7,123,1920479,23.5,Powder Snow,Weather Ball (Ice),Psyshock,60,-35,1.71,70,-45,1.56,5,1,8,1.0,2.5,4.0,16568.1,True
Pelipper,87.1,water,flying,124.7,127.4,113,1794220,26.0,Wing Attack,Weather Ball (Water),Hurricane,60,-35,1.71,110,-65,1.69,5,1,7,1.0,2.5,3.5,14396.2,True
Skarmory (Shadow),87.1,steel,flying,106.9,163.1,120,2092515,27.0,Air Slash,Brave Bird,Sky Attack,130,-55,2.36,75,-45,1.67,9,2,9,1.5,3.0,3.0,19572.0,True
Zapdos (Shadow),87.1,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunderbolt,65,-40,1.63,90,-55,1.64,3,1,9,1.0,1.5,4.5,11831.1,True
Raikou (Shadow),87.0,electric,none,132.0,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball,100,-45,2.22,100,-55,1.82,3,1,9,1.0,1.5,4.5,12748.400000000001,False
Dewgong,86.9,water,ice,102.7,136.2,154,2154277,28.5,Ice Shard,Icy Wind,Water Pulse,60,-45,1.33,70,-60,1.17,9,2,10,1.5,3.0,3.33,20974.8,True
Drifblim,86.7,ghost,flying,120.5,73.8,208,1849564,23.5,Hex,Icy Wind,Shadow Ball,60,-45,1.33,100,-55,1.82,6,2,12,1.5,2.0,4.0,15350.4,True
Lanturn,86.7,water,electric,104.8,104.8,192,2109375,27.0,Spark,Thunderbolt,Hydro Pump,90,-55,1.64,130,-75,1.73,4,1,8,1.0,2.0,4.0,20121.6,True
Castform (Snowy),86.6,ice,none,114.2,118.9,144,1955147,39.5,Powder Snow,Weather Ball (Ice),Blizzard,60,-35,1.71,140,-75,1.87,5,1,8,1.0,2.5,4.0,17121.600000000002,False
Froslass,86.5,ice,ghost,125.4,109.3,131,1795223,27.5,Powder Snow,Avalanche,Shadow Ball,90,-45,2.0,100,-55,1.82,5,1,8,1.0,2.5,4.0,14318.3,True
Gliscor,86.5,ground,flying,116.1,142.1,116,1914629,20.5,Fury Cutter,Earthquake,Night Slash,120,-65,1.85,50,-35,1.43,2,0,4,0.5,2.0,4.0,16483.6,True
Wigglytuff,86.5,normal,fairy,117.3,75.5,215,1904387,29.0,Charm,Ice Beam,Play Rough,90,-55,1.64,90,-60,1.5,16,2,6,1.5,5.33,2.0,16232.5,True
Hariyama,86.3,fighting,none,126.8,74.9,184,1748232,19.5,Counter,Close Combat,Heavy Slam,100,-45,2.22,70,-50,1.4,8,1,7,1.0,4.0,3.5,13781.6,False
Mantine,86.3,water,flying,106.9,163.1,120,2092515,27.0,Bubble,Bubble Beam,Ice Beam,25,-40,0.63,90,-55,1.64,7,2,11,1.5,2.33,3.67,19572.0,True
Poliwrath (Shadow),86.3,water,fighting,117.7,120.8,134,1904764,21.5,Mud Shot,Dynamic Punch,Ice Punch,90,-50,1.8,55,-40,1.38,3,1,9,1.0,1.5,4.5,16187.199999999999,True
Zapdos,86.2,electric,flying,137.3,104.7,113,1623486,15.5,Thunder Shock,Drill Peck,Thunder,65,-40,1.63,100,-60,1.67,3,1,9,1.0,1.5,4.5,11831.1,True
Flygon (Shadow),86.0,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Earth Power,50,-35,1.43,90,-55,1.64,3,1,9,1.0,1.5,4.5,13394.7,True
Gardevoir (Shadow),86.0,psychic,fairy,137.2,115.6,102,1617468,18.0,Charm,Synchronoise,Shadow Ball,80,-50,1.6,100,-55,1.82,16,2,6,1.5,5.33,2.0,11791.199999999999,True
Quagsire,86.0,water,ground,111.7,111.7,159,1983389,28.0,Mud Shot,Earthquake,Stone Edge,120,-65,1.85,100,-55,1.82,3,1,9,1.0,1.5,4.5,17760.3,True
Shiftry (Shadow),86.0,grass,dark,134.2,85.1,145,1655004,24.0,Snarl,Leaf Blade,Foul Play,70,-35,2.0,70,-45,1.56,5,2,13,1.5,1.67,4.33,12339.5,True
Snorlax,86.0,normal,none,107.4,100.2,190,2045672,17.0,Lick,Body Slam,Superpower,60,-35,1.71,85,-40,2.13,3,0,3,0.5,3.0,3.0,19038.0,False
Snorlax (Shadow),85.9,normal,none,107.4,100.2,190,2045672,17.0,Lick,Body Slam,Superpower,60,-35,1.71,85,-40,2.13,3,0,3,0.5,3.0,3.0,19038.0,False
Obstagoon,85.6,dark,normal,113.2,124.9,138,1951673,21.0,Counter,Night Slash,Gunk Shot,50,-35,1.43,130,-75,1.73,8,1,7,1.0,4.0,3.5,17236.2,True
Clefable,85.2,fairy,none,117.2,112.8,143,1890364,23.0,Charm,Meteor Mash,Moonblast,100,-50,2.0,110,-60,1.83,16,2,6,1.5,5.33,2.0,16130.4,False
Gliscor (Shadow),85.2,ground,flying,116.1,142.1,116,1914629,20.5,Fury Cutter,Earthquake,Night Slash,120,-65,1.85,50,-35,1.43,2,0,4,0.5,2.0,4.0,16483.6,True
Lucario,85.2,fighting,steel,148.2,93.1,110,1518228,20.5,Counter,Power-Up Punch,Shadow Ball,20,-35,0.57,100,-55,1.82,8,1,7,1.0,4.0,3.5,10241.0,True
Escavalier,85.1,bug,steel,135.1,118.0,104,1657440,19.5,Counter,Drill Run,Megahorn,80,-45,1.78,100,-55,1.82,8,1,7,1.0,4.0,3.5,12272.0,True
Shiftry,85.1,grass,dark,134.2,85.1,145,1655004,24.0,Snarl,Leaf Blade,Foul Play,70,-35,2.0,70,-45,1.56,5,2,13,1.5,1.67,4.33,12339.5,True
Sirfetchd,85.1,fighting,none,145.9,108.6,96,1521428,18.5,Counter,Leaf Blade,Night Slash,70,-35,2.0,50,-35,1.43,8,1,7,1.0,4.0,3.5,10425.599999999999,False
Venusaur (Shadow),85.1,grass,poison,123.4,122.8,119,1802730,20.5,Vine Whip,Frenzy Plant,Sludge Bomb,100,-45,2.22,80,-50,1.6,5,1,8,1.0,2.5,4.0,14613.199999999999,True
Ferrothorn,85.0,grass,steel,108.8,154.1,123,2062431,23.5,Bullet Seed,Power Whip,Thunder,90,-50,1.8,100,-60,1.67,5,2,13,1.5,1.67,4.33,18954.3,True
Suicune,84.8,water,none,106.9,141.3,137,2069442,18.5,Snarl,Bubble Beam,Hydro Pump,25,-40,0.63,130,-75,1.73,5,2,13,1.5,1.67,4.33,19358.100000000002,False
Alomomola,84.7,water,none,98.5,98.5,234,2269817,25.5,Waterfall,Psychic,Hydro Pump,90,-55,1.64,130,-75,1.73,12,2,8,1.5,4.0,2.67,23049.0,False
Magnezone (Shadow),84.6,electric,steel,136.6,121.2,99,1638649,17.0,Spark,Wild Charge,Mirror Shot,100,-45,2.22,35,-35,1.0,4,1,8,1.0,2.0,4.0,11998.800000000001,True
Whimsicott,84.6,grass,fairy,119.8,132.4,117,1855723,27.5,Charm,Grass Knot,Moonblast,90,-50,1.8,110,-60,1.83,16,2,6,1.5,5.33,2.0,15490.800000000001,True
Cradily,84.5,rock,grass,105.9,141.0,140,2090467,25.5,Bullet Seed,Stone Edge,Grass Knot,100,-55,1.82,90,-50,1.8,5,2,13,1.5,1.67,4.33,19740.0,True
Bellossom,84.4,grass,none,115.1,130.3,128,1918300,24.5,Bullet Seed,Leaf Blade,Return,70,-35,2.0,130,-70,1.86,5,2,13,1.5,1.67,4.33,16678.4,False
Machoke (Shadow),84.4,fighting,none,128.9,98.1,137,1731952,27.5,Karate Chop,Cross Chop,Dynamic Punch,50,-35,1.43,90,-50,1.8,5,1,8,1.0,2.5,4.0,13439.699999999999,False
Dragonite (Shadow),84.3,dragon,flying,137.3,105.3,112,1619864,14.5,Dragon Breath,Dragon Claw,Hurricane,50,-35,1.43,110,-65,1.69,4,0,3,0.5,4.0,3.0,11793.6,True
Machoke,84.3,fighting,none,128.9,98.1,137,1731952,27.5,Karate Chop,Cross Chop,Dynamic Punch,50,-35,1.43,90,-50,1.8,5,1,8,1.0,2.5,4.0,13439.699999999999,False
Perrserker,84.3,steel,none,130.8,110.1,119,1713702,23.5,Shadow Claw,Close Combat,Foul Play,100,-45,2.22,70,-45,1.56,6,1,8,1.0,3.0,4.0,13101.9,False
Lapras (Shadow),84.1,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash,65,-40,1.63,130,-75,1.73,9,2,10,1.5,3.0,3.33,19851.100000000002,True
Empoleon,84.0,water,steel,125.8,114.7,122,1760119,19.0,Waterfall,Hydro Cannon,Drill Peck,80,-40,2.0,65,-40,1.63,12,2,8,1.5,4.0,2.67,13993.4,True
Sealeo (Shadow),84.0,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam,60,-35,1.71,80,-60,1.33,5,1,8,1.0,2.5,4.0,18496.8,True
Marowak (Alolan),83.9,fire,ghost,111.4,145.3,124,2007734,31.0,Fire Spin,Shadow Bone,Bone Club,75,-45,1.67,40,-35,1.14,9,2,10,1.5,3.0,3.33,18017.2,True
Toxicroak,83.9,poison,fighting,136.6,92.1,129,1622926,22.0,Counter,Mud Bomb,Sludge Bomb,55,-40,1.38,80,-50,1.6,8,1,7,1.0,4.0,3.5,11880.9,True
Zangoose,83.9,normal,none,146.4,87.4,119,1523126,22.5,Shadow Claw,Close Combat,Night Slash,100,-45,2.22,50,-35,1.43,6,1,8,1.0,3.0,4.0,10400.6,False
Forretress,83.8,bug,steel,110.4,142.2,128,2009351,24.5,Bug Bite,Earthquake,Mirror Shot,120,-65,1.85,35,-35,1.0,3,0,3,0.5,3.0,3.0,18201.6,True
Lapras,83.8,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash,65,-40,1.63,130,-75,1.73,9,2,10,1.5,3.0,3.33,19851.100000000002,True
Raikou,83.8,electric,none,132.0,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball,100,-45,2.22,100,-55,1.82,3,1,9,1.0,1.5,4.5,12748.400000000001,False
Dragonair (Shadow),83.6,dragon,none,126.0,111.7,125,1758941,33.0,Dragon Breath,Aqua Tail,Dragon Pulse,50,-35,1.43,90,-60,1.5,4,0,3,0.5,4.0,3.0,13962.5,False
Jumpluff (Shadow),83.6,grass,flying,97.7,152.4,153,2279378,38.5,Bullet Seed,Aerial Ace,Energy Ball,55,-45,1.22,90,-55,1.64,5,2,13,1.5,1.67,4.33,23317.2,True
Blastoise,83.5,water,none,112.8,137.8,127,1974395,22.0,Water Gun,Hydro Cannon,Ice Beam,80,-40,2.0,90,-55,1.64,3,0,3,0.5,3.0,3.0,17500.600000000002,False
Ninetales (Shadow),83.5,fire,none,116.2,130.9,126,1917092,25.0,Fire Spin,Weather Ball (Fire),Psyshock,60,-35,1.71,70,-45,1.56,9,2,10,1.5,3.0,3.33,16493.4,False
Castform (Sunny),83.4,fire,none,114.2,118.9,144,1955147,39.5,Ember,Weather Ball (Fire),Solar Beam,60,-35,1.71,150,-80,1.88,7,1,6,1.0,3.5,3.0,17121.600000000002,False
Flygon,83.4,ground,dragon,128.8,108.9,123,1725102,20.5,Mud Shot,Dragon Claw,Earth Power,50,-35,1.43,90,-55,1.64,3,1,9,1.0,1.5,4.5,13394.7,True
Heracross,83.4,bug,fighting,135.2,108.4,112,1642084,17.5,Counter,Close Combat,Megahorn,100,-45,2.22,100,-55,1.82,8,1,7,1.0,4.0,3.5,12140.800000000001,True
Jumpluff,83.4,grass,flying,97.7,152.4,153,2279378,38.5,Bullet Seed,Aerial Ace,Energy Ball,55,-45,1.22,90,-55,1.64,5,2,13,1.5,1.67,4.33,23317.2,True
Hypno,83.3,psychic,none,104.8,143.7,142,2138624,27.0,Confusion,Shadow Ball,Thunder Punch,100,-55,1.82,55,-40,1.38,16,3,12,2.0,4.0,3.0,20405.399999999998,False
Magnezone,83.3,electric,steel,136.6,121.2,99,1638649,17.0,Spark,Wild Charge,Mirror Shot,100,-45,2.22,35,-35,1.0,4,1,8,1.0,2.0,4.0,11998.800000000001,True
Marshtomp (Shadow),83.3,water,ground,122.2,108.0,139,1834048,33.0,Mud Shot,Surf,Mud Bomb,65,-40,1.63,55,-40,1.38,3,1,9,1.0,1.5,4.5,15012.0,True
Sceptile,83.3,grass,none,138.5,108.3,108,1619458,20.5,Bullet Seed,Leaf Blade,Earthquake,70,-35,2.0,120,-65,1.85,5,2,13,1.5,1.67,4.33,11696.4,False
Bellossom (Shadow),83.2,grass,none,115.1,130.3,128,1918300,24.5,Bullet Seed,Leaf Blade,Dazzling Gleam,70,-35,2.0,110,-70,1.57,5,2,13,1.5,1.67,4.33,16678.4,False
Lickitung,83.2,normal,none,97.2,120.1,175,2043482,40.0,Lick,Body Slam,Power Whip,60,-35,1.71,90,-50,1.8,3,0,3,0.5,3.0,3.0,21017.5,False
Sableye (Shadow),83.2,dark,ghost,123.3,119.3,120,1765496,40.0,Shadow Claw,Foul Play,Shadow Sneak,70,-45,1.56,50,-45,1.11,6,1,8,1.0,3.0,4.0,14316.0,True
Hitmonchan (Shadow),83.1,fighting,none,130.2,135.3,97,1708843,23.5,Counter,Ice Punch,Thunder Punch,55,-40,1.38,55,-40,1.38,8,1,7,1.0,4.0,3.5,13124.1,False
Regice,83.1,ice,none,105.4,180.2,112,2127885,18.0,Lock On,Blizzard,Earthquake,140,-75,1.87,120,-65,1.85,1,0,5,0.5,1.0,5.0,20182.399999999998,False
Melmetal,83.0,steel,none,122.1,105.5,142,1830093,15.0,Thunder Shock,Superpower,Rock Slide,85,-40,2.13,75,-45,1.67,3,1,9,1.0,1.5,4.5,14981.0,False
Electivire (Shadow),82.9,electric,none,144.0,98.0,109,1538496,18.0,Thunder Shock,Ice Punch,Wild Charge,55,-40,1.38,100,-45,2.22,3,1,9,1.0,1.5,4.5,10682.0,False
Hitmonchan,82.8,fighting,none,130.2,135.3,97,1708843,23.5,Counter,Ice Punch,Thunder Punch,55,-40,1.38,55,-40,1.38,8,1,7,1.0,4.0,3.5,13124.1,False
Stunfisk,82.8,ground,electric,102.9,126.7,167,2176261,26.0,Thunder Shock,Mud Bomb,Discharge,55,-40,1.38,65,-45,1.44,3,1,9,1.0,1.5,4.5,21158.9,True
Munchlax,82.6,normal,none,104.6,93.7,218,2136331,30.0,Lick,Body Slam,Bulldoze,60,-35,1.71,80,-60,1.33,3,0,3,0.5,3.0,3.0,20426.600000000002,False
Quilladin,82.6,grass,none,116.8,131.4,125,1918246,37.0,Vine Whip,Body Slam,Energy Ball,60,-35,1.71,90,-55,1.64,5,1,8,1.0,2.5,4.0,16425.0,False
Beedrill (Shadow),82.5,bug,poison,128.6,103.6,130,1731686,30.5,Poison Jab,X-Scissor,Drill Run,45,-35,1.29,80,-45,1.78,6,1,7,1.0,3.0,3.5,13468.0,True
Blaziken,82.5,fire,fighting,145.0,89.7,118,1534137,19.0,Counter,Blaze Kick,Stone Edge,55,-40,1.38,100,-55,1.82,8,1,7,1.0,4.0,3.5,10584.6,True
Muk (Alolan),82.5,poison,dark,118.3,111.7,143,1889615,20.0,Snarl,Dark Pulse,Sludge Wave,80,-50,1.6,110,-65,1.69,5,2,13,1.5,1.67,4.33,15973.1,True
Noctowl,82.3,normal,flying,106.7,115.9,169,2091241,28.0,Wing Attack,Sky Attack,Psychic,75,-45,1.67,90,-55,1.64,5,1,7,1.0,2.5,3.5,19587.100000000002,True
Dragonair,82.2,dragon,none,126.0,111.7,125,1758941,33.0,Dragon Breath,Aqua Tail,Wrap,50,-35,1.43,60,-45,1.33,4,0,3,0.5,4.0,3.0,13962.5,False
Dragonite,82.2,dragon,flying,137.3,105.3,112,1619864,14.5,Dragon Breath,Dragon Claw,Draco Meteor,50,-35,1.43,150,-65,2.31,4,0,3,0.5,4.0,3.0,11793.6,True
Lickilicky,82.1,normal,none,106.5,122.8,160,2092956,22.0,Lick,Body Slam,Shadow Ball,60,-35,1.71,100,-55,1.82,3,0,3,0.5,3.0,3.0,19648.0,False
Golbat (Shadow),82.0,poison,flying,119.5,115.2,136,1872017,28.0,Wing Attack,Poison Fang,Shadow Ball,40,-35,1.14,100,-55,1.82,5,1,7,1.0,2.5,3.5,15667.2,True
Ninetales,82.0,fire,none,116.2,130.9,126,1917092,25.0,Fire Spin,Weather Ball (Fire),Solar Beam,60,-35,1.71,150,-80,1.88,9,2,10,1.5,3.0,3.33,16493.4,False
Cradily (Shadow),81.9,rock,grass,105.9,141.0,140,2090467,25.5,Bullet Seed,Stone Edge,Grass Knot,100,-55,1.82,90,-50,1.8,5,2,13,1.5,1.67,4.33,19740.0,True
Pinsir (Shadow),81.9,bug,none,141.9,113.2,98,1574251,18.5,Fury Cutter,Close Combat,X-Scissor,100,-45,2.22,45,-35,1.29,2,0,4,0.5,2.0,4.0,11093.6,False
Sealeo,81.9,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam,60,-35,1.71,80,-60,1.33,5,1,8,1.0,2.5,4.0,18496.8,True
Articuno,81.8,ice,flying,113.2,142.5,122,1967716,18.5,Ice Shard,Icy Wind,Hurricane,60,-45,1.33,110,-65,1.69,9,2,10,1.5,3.0,3.33,17385.0,True
Blastoise (Shadow),81.8,water,none,112.8,137.8,127,1974395,22.0,Water Gun,Hydro Cannon,Ice Beam,80,-40,2.0,90,-55,1.64,3,0,3,0.5,3.0,3.0,17500.600000000002,False
Poliwrath,81.8,water,fighting,117.7,120.8,134,1904764,21.5,Mud Shot,Dynamic Punch,Ice Punch,90,-50,1.8,55,-40,1.38,3,1,9,1.0,1.5,4.5,16187.199999999999,True
Gyarados (Shadow),81.7,water,flying,132.0,105.3,122,1695047,16.0,Dragon Breath,Aqua Tail,Crunch,50,-35,1.43,70,-45,1.56,4,0,3,0.5,4.0,3.0,12846.6,True
Lugia,81.7,psychic,flying,102.4,163.5,129,2160651,15.0,Extrasensory,Sky Attack,Aeroblast,75,-45,1.67,170,-75,2.27,8,2,10,1.5,2.67,3.33,21091.5,True
Quagsire (Shadow),81.7,water,ground,111.7,111.7,159,1983389,28.0,Mud Shot,Earthquake,Stone Edge,120,-65,1.85,100,-55,1.82,3,1,9,1.0,1.5,4.5,17760.3,True
Tangrowth,81.7,grass,none,122.4,112.2,133,1827093,18.0,Vine Whip,Power Whip,Rock Slide,90,-50,1.8,75,-45,1.67,5,1,8,1.0,2.5,4.0,14922.6,False
Togekiss,81.7,fairy,flying,126.4,125.9,111,1766785,16.5,Charm,Ancient Power,Flamethrower,45,-45,1.0,90,-55,1.64,16,2,6,1.5,5.33,2.0,13974.900000000001,True
Zebstrika,81.5,electric,none,138.4,94.2,123,1602957,23.0,Spark,Wild Charge,Flame Charge,100,-45,2.22,65,-50,1.3,4,1,8,1.0,2.0,4.0,11586.6,False
